Sample;Sampling_date;Sampling_site;Ct
QC_02_cpTP24h_Raw;2021-03-04;02-Int_West;34.6566300236841
QC_01_cpTP24h_Raw;2021-03-05;01-Int_East;36.456440697017
QC_02_cpTP24h_Raw;2021-03-05;02-Int_West;35.6083286268281
QC_01_cpTP24h_Raw;2021-03-06;01-Int_East;35.4603700929047
QC_02_cpTP24h_Raw;2021-03-06;02-Int_West;36.026029909566
QC_01_cpTP24h_Raw;2021-03-07;01-Int_East;40.3749077910632
QC_02_cpTP24h_Raw;2021-03-07;02-Int_West;36.3521568633756
QC_01_cpTP24h_Raw;2021-03-08;01-Int_East;35.8224649744383
QC_02_cpTP24h_Raw;2021-03-08;02-Int_West;37.9325212882515
QC_01_cpTP24h_Raw;2021-03-09;01-Int_East;36.9517620216099
